date,ticker,price
2024-01-01,AAPL,150.30471707975443
2024-01-02,AAPL,149.26473297351393
2024-01-03,AAPL,150.0151841693204
2024-01-04,AAPL,150.9557488857116
2024-01-05,AAPL,149.00471369705778
2024-01-06,AAPL,147.70253419019545
2024-01-07,AAPL,147.83037459336273
2024-01-08,AAPL,147.51413200101916
2024-01-09,AAPL,147.49733084351487
2024-01-10,AAPL,146.64428691594128
2024-01-11,AAPL,147.5236848908041
2024-01-12,AAPL,148.30147682623306
2024-01-13,AAPL,148.36750752379427
2024-01-14,AAPL,149.49474873076232
2024-01-15,AAPL,149.96225807301437
2024-01-16,AAPL,149.10296561013112
2024-01-17,AAPL,149.47171639421362
2024-01-18,AAPL,148.51283379338463
2024-01-19,AAPL,149.39128409469188
2024-01-20,AAPL,149.34135818370564
